"id","dam","sire","Year"
1131601,6843599,6843691,1979
1131602,6843571,6843744,1979
1131603,6843551,6843718,1979
1131604,5079712,6843600,1979
1131605,6843574,6843675,1979
1131606,5054036,6843665,1979
1131607,6808971,6843774,1979
1131608,5092166,6843673,1979
1131609,5054038,6843543,1979
1131610,6808989,6843533,1979
1131611,6843527,6843579,1979
1131612,5079704,5079782,1979
1131613,6843510,6843782,1979
1131614,5079741,5079795,1979
1131615,5079743,5079794,1979
1131616,5087515,6808770,1979
1131617,6808986,NA,1979
1131618,1131192,5078543,1979
1131619,6843565,6843752,1979
1131620,6843603,6843666,1979
1131621,5087676,6843676,1979
1131622,6843544,6843763,1979
1131623,6802816,6843519,1979
1131624,6843535,6843669,1979
1131625,6843528,6843682,1979
1131626,6843532,6843671,1979
1131627,6843520,6843670,1979
1131628,1333570,1405780,1979
1131629,6843511,6843656,1979
1131630,6809100,6843630,1979
1131631,2869732,6809002,1979
1131632,2811671,6843773,1979
1131634,5078532,5079726,1979
1131635,5087521,5087756,1979
1131638,5078505,5079727,1979
1131639,6843602,6843753,1979
1131640,NA,NA,1979
1131641,6843609,6843713,1979
1131642,6843640,6843705,1979
1131643,6843626,6843741,1979
1131644,5078510,5087523,1979
1131645,5078539,5079734,1979
1131646,1131194,5092169,1979
1131647,5087524,5087681,1979
1131649,6843624,6843732,1979
1131650,2869720,5054048,1979
1131651,5092059,6843573,1979
1131653,5079719,5079785,1979
1131654,5079713,6843549,1979
1131655,6843594,6843689,1979
1131656,2869635,5078524,1979
1131657,5079784,6843668,1979
1131658,6843575,6843683,1979
1131659,5079710,6843595,1979
1131660,6843678,6843792,1979
1131661,6843537,6843587,1979
1131662,6843531,6843710,1979
1131663,5079787,5087508,1979
1131664,5054031,5054033,1979
1131665,1371802,6843546,1979
1131666,6843518,6843663,1979
1131667,6843504,6843749,1979
1131668,5079718,5079786,1979
1131669,6808772,6843529,1979
1131670,6843597,6843788,1979
1131671,5092058,6843562,1979
1131672,2869669,5092060,1979
1131673,5087675,6843556,1979
1131674,1131193,5092075,1979
1131675,6843553,6843693,1979
1131676,6843620,6843754,1979
1131677,6808773,6843661,1979
1131678,5079749,5087757,1979
1131679,5092002,6802570,1979
1131680,2869642,6843653,1979
1131682,6843649,6843729,1979
1131683,6843648,6843768,1979
1131684,5087526,6808775,1979
1131685,5078529,5092044,1979
1131686,6843654,6843739,1979
1131687,6843601,6843638,1979
1131688,6843611,6843785,1979
1131689,NA,NA,1979
1134872,5078522,5079707,1979
1134873,6843585,6843727,1979
1138957,NA,NA,1981
1138959,1138032,5092098,1981
1138960,6843740,6843772,1981
1138961,2869698,5079728,1981
1138962,5078504,6843722,1981
1138963,5087524,5087681,1981
1138964,2869720,5054048,1981
1138965,5078514,5079751,1981
1138966,2869642,6843653,1981
1138967,5078529,5092044,1981
1138968,6808767,6843714,1981
1138969,6833052,6843552,1981
1138970,5092047,5092170,1981
1138971,6808909,6843757,1981
1138972,5087675,6843556,1981
1138973,NA,NA,1981
1138974,6808753,6843702,1981
1138976,1405786,6808986,1981
1138978,6843502,6843561,1981
1138979,1138956,5087526,1981
1138980,6843510,6843782,1981
1138982,5079709,5092167,1981
1138984,1147757,5092062,1981
1138987,2869629,5087671,1981
1138988,6843559,6843746,1981
1138989,5079713,6843549,1981
1138991,6843599,6843691,1981
1139711,5087501,6843554,1982
1139712,5079704,5079782,1982
1139713,5078520,5079703,1982
1139715,5087517,6843519,1982
1139716,1138515,5078545,1982
1139717,6833052,6843751,1982
1139718,5079723,6843656,1982
1139719,1138026,5078538,1982
1139720,1141201,NA,1982
1139721,1436920,6843582,1982
1139722,2869762,6843566,1982
1139723,5079722,6843511,1982
1139724,6809100,6843630,1982
1139725,1138032,5092098,1982
1139726,5078510,5087523,1982
1139727,2869722,NA,1982
1139728,6843640,6843705,1982
1139729,2869732,6843535,1982
1139730,6843649,6843729,1982
1139731,5087503,5087667,1982
1139732,5054041,6843581,1982
1139733,5079702,5079797,1982
1139734,5054039,6831942,1982
1139735,1141221,5087518,1982
1139736,6843516,6843700,1982
1139737,1333570,1405780,1982
1139738,6843626,6843741,1982
1139739,5087520,6843602,1982
1139740,5092046,6843762,1982
1139741,5078537,5079732,1982
1139742,5078511,5078540,1982
1139743,5079736,6843629,1982
1139744,6843621,6843704,1982
1139745,6809052,6843725,1982
1139746,6831933,6843643,1982
1139747,1141202,1141227,1982
1139748,6843624,6843732,1982
1139749,2869720,5054048,1982
1139750,6808773,6843661,1982
1139751,5078504,6843722,1982
1139752,1141222,5087678,1982
1139753,2869698,5079728,1982
1139757,1141203,6843642,1982
1139758,1141224,6843743,1982
1139759,1405771,6843739,1982
1139760,6843583,6843760,1982
1139761,1138952,5079755,1982
1139762,5087528,NA,1982
1139763,5078529,5092044,1982
1139764,1138029,1141204,1982
1139765,2869756,6843550,1982
1139766,1147757,5092062,1982
1139767,2867113,6808984,1982
1139768,2869635,5078524,1982
1139769,6843594,6843689,1982
1139770,5079713,6843549,1982
1139771,5079749,6843617,1982
1139772,6843558,6843780,1982
1139773,6843510,6843782,1982
1139774,6843530,6843727,1982
1139775,6843537,6843587,1982
1139776,6843591,6843664,1982
1139777,6843527,6843579,1982
1139779,6843555,6843690,1982
1139780,1141205,1141226,1982
1139781,6808772,6843529,1982
1139782,1141209,NA,1982
1139783,5079710,6843557,1982
1139785,6843559,6843746,1982
1139787,6843551,6843744,1982
1139788,6843599,6843691,1982
1139789,2869651,6843505,1982
1139790,1141225,5078528,1982
1139791,5079784,6843668,1982
1141579,5079740,5092056,1983
1141591,5079704,5079782,1983
1141592,1436920,6843582,1983
1141593,5078520,5079703,1983
1141594,5054041,6843581,1983
1141595,1141551,1141585,1983
1141596,5087503,5087667,1983
1141597,1405762,6843679,1983
1141598,5079702,5079797,1983
1141599,5054039,6831942,1983
1141600,2869762,6843566,1983
1141932,6843544,6843763,1983
1141933,6843516,6843700,1983
1141934,1138515,5078545,1983
1141935,6843670,6843751,1983
1141936,1333570,1405780,1983
1141937,1138026,5078538,1983
1141938,1138061,5092045,1983
1141939,6843625,6843631,1983
1141940,5079800,6843657,1983
1141941,1371803,6843731,1983
1141942,1141581,2869722,1983
1141943,5078503,5078541,1983
1141945,5087521,5092055,1983
1141947,5079736,6843629,1983
1141948,5079735,5087523,1983
1141949,5092168,5092169,1983
1141951,6843740,6843772,1983
1141952,2869720,5054048,1983
1141953,1141202,1141227,1983
1141954,1141229,5092097,1983
1141955,6843641,6843724,1983
1141956,6831933,6843643,1983
1141957,5087524,5087681,1983
1141958,5079749,6843617,1983
1141959,5078529,5092044,1983
1141960,1138952,5079755,1983
1141961,5054027,6843648,1983
1141962,1141208,1141586,1983
1141963,1141224,6843743,1983
1141964,6843583,6843760,1983
1141965,6843615,6843730,1983
1141966,6843611,6843785,1983
1141967,5092064,6843620,1983
1141968,1141561,5079791,1983
1141969,5078527,5079747,1983
1141972,5079721,5092063,1983
1141973,5087675,6843556,1983
1141974,6843603,6843666,1983
1141975,1138063,6843542,1983
1141976,1141562,1141583,1983
1141977,6843545,6843735,1983
1141978,1141209,5087668,1983
1141979,6808772,6843529,1983
1141980,6808753,6843702,1983
1141981,1131192,5078543,1983
1141982,6843565,6843752,1983
1141983,5079741,5079795,1983
1141984,5079793,6843561,1983
1141985,5087515,6808770,1983
1141986,1436692,NA,1983
1141987,6843510,6843782,1983
1141988,6843530,6843727,1983
1141989,6843537,6843587,1983
1141990,6843527,6843579,1983
1141991,5079705,5092061,1983
1141992,5054038,6808973,1983
1141993,6843555,6843690,1983
1141994,6843678,6843792,1983
1141995,2869756,6843550,1983
1141996,1147757,6843514,1983
1141997,5079710,6843557,1983
1141998,1141564,5087512,1983
1141999,6843597,6843788,1983
1142000,5087671,6843575,1983
1145001,5054034,5087514,1983
1145002,6843594,6843689,1983
1145003,6843559,6843746,1983
