id,dam,sire,Year
2869109,5054548,NA,1972
4000001,5098918,5216906,2003
4000002,5110215,5116010,2003
4000003,5116274,5155885,2003
4000004,5072249,5079297,2003
4000005,5097254,5110255,2003
4000006,5147629,5147876,2003
4000007,5072437,5146112,2003
4000008,5132191,5202971,2003
4000009,5098342,5222587,2003
4000010,5216917,5222588,2003
4000011,5117431,5187955,2003
4000012,5079308,5079324,2003
4000013,5116302,5132040,2003
4000014,5098908,5110348,2003
4000015,5144008,5145765,2003
4000016,4005441,5222763,2003
4000017,5132545,5144590,2003
4000018,5117976,5147978,2003
4000019,5116190,5187921,2003
4000020,5093440,5109067,2003
4000021,5144309,5144319,2003
4000022,4000729,5116253,2003
4000023,5144003,5144338,2003
4000024,5148387,5148397,2003
4000025,5079290,5144599,2003
4000026,5079454,5187960,2003
4000027,5127594,5144956,2003
4000028,4000767,5109903,2003
4000029,5093122,5127349,2003
4000032,5109941,5116824,2003
4000033,5109753,5127103,2003
4000034,5144842,5145137,2003
4000035,5092569,5098092,2003
4000036,5080181,5146079,2003
4000037,5098245,5098626,2003
4000038,5117636,5222734,2003
4000039,5144070,5144271,2003
4000040,5144263,5144409,2003
4000041,5132910,5144165,2003
4000042,5127756,5183094,2003
4000043,5143615,5144799,2003
4000044,5132925,5144297,2003
4000045,5144134,5144251,2003
4000046,5127028,5127091,2003
4000047,5222582,5222772,2003
4000048,5127042,5144150,2003
4000049,5147925,5148178,2003
4000050,5222583,5222744,2003
4000051,5127061,5127066,2003
4000052,5109615,5183128,2003
4000053,5222584,5222688,2003
4000054,5132952,5144296,2003
4000055,5098694,5144810,2003
4000056,5077740,5144492,2003
4000057,5109934,5146118,2003
4000058,5078314,5216958,2003
4000059,5072165,5132323,2003
4000060,5072206,5121085,2003
4000061,5145186,5145205,2003
4000062,5072196,5144493,2003
4000063,5156013,5222689,2003
4000064,5146554,5147381,2003
4000065,5127065,5127131,2003
4000066,5098688,5117642,2003
4000067,5098695,5222742,2003
4000068,5098580,5098749,2003
4000069,4000740,5142927,2003
4000070,5142506,5142951,2003
4000071,5146592,5147996,2003
4000072,5093194,5144189,2003
4000073,5146120,5217783,2003
4000074,5145143,5146376,2003
4000075,5144740,5145202,2003
4000076,5145161,5216970,2003
4000077,5121037,5142501,2003
4000078,5222594,5222595,2003
4000079,5127011,5217734,2003
4000080,5098757,5109828,2003
4000081,5222596,5222715,2003
4000082,5145171,5145175,2003
4000083,5098233,5148017,2003
4000084,5097978,5202923,2003
4000085,5127053,5144285,2003
4000086,5222599,5222732,2003
4000087,5142512,5143584,2003
4000088,5146611,5147370,2003
4000089,5148195,5148225,2003
4000090,5148196,5164433,2003
4000091,5108697,5146151,2003
4000092,5098107,5147007,2003
4000093,5108709,5147005,2003
4000094,5092255,5093243,2003
4000095,5079013,5109621,2003
4000096,5097303,5146115,2003
4000097,5143550,5143602,2003
4000098,5116089,5222771,2003
4000099,5077709,5080351,2003
4000100,5117562,5127310,2003
4000101,5072256,5121061,2003
4000102,5127505,5216967,2003
4000103,5098548,5108768,2003
4000104,5116018,5122097,2003
4000105,5098577,5187956,2003
4000106,5098745,5117571,2003
4000107,4008484,5143618,2003
4000108,5222604,5222719,2003
4000109,5144435,5222646,2003
4000110,4009276,5202911,2003
4000111,5142914,5217737,2003
4000112,5127052,5183139,2003
4000113,5132914,5144721,2003
4000114,5216996,5222773,2003
4000115,5087805,5121032,2003
4000116,5144696,5144698,2003
4000117,5147250,5164237,2003
4000118,5147264,5156489,2003
4000119,5093146,5146088,2003
4000120,5222607,5222724,2003
4000121,5109982,5121029,2003
4000122,5121027,5132222,2003
4000123,5109987,5216997,2003
4000124,5098155,5122452,2003
4000125,5222609,5222722,2003
4000126,5222610,5222723,2003
4000127,5143952,5184917,2003
4000128,5222608,5222721,2003
4000129,5144714,5146697,2003
4000130,5142900,5142905,2003
4000131,5097403,5109108,2003
4000132,5144001,5144366,2003
4000133,5098821,5121015,2003
4000134,5116252,5184947,2003
4000135,5144601,5145720,2003
4000136,5109560,5109579,2003
4000137,5122381,5222585,2003
4000138,5092526,5109038,2003
4000139,5147853,5147883,2003
4000140,5116880,5127636,2003
4000141,5117350,5144317,2003
4000142,5109295,5144622,2003
4000143,5097256,5110491,2003
4000144,5144361,5145857,2003
4000145,5132844,5147295,2003
4000146,5155815,5156066,2003
4000147,5116207,5116228,2003
4000148,5116222,5117960,2003
4000149,5144241,5146843,2003
4000150,5127454,5187970,2003
4000151,5079355,5144441,2003
4000152,5109835,5222714,2003
4000153,5108789,5216943,2003
4000154,5132171,5143560,2003
4000155,5132173,5146672,2003
4000156,5116632,5222648,2003
4000157,5122113,5222649,2003
4000158,5098127,5116846,2003
4000159,5122492,5144395,2003
4000160,5122489,5122497,2003
4000161,5147076,5148132,2003
4000162,5146678,5156206,2003
4000163,5092852,5187950,2003
4000164,5110075,5148042,2003
4000165,5078060,5202905,2003
4000167,5109147,5109155,2003
4000168,5122019,5127823,2003
4000169,5216962,5222635,2003
4000170,5142725,5143561,2003
4000171,5142978,5146656,2003
4000172,5142988,5146658,2003
4000173,5145653,5222636,2003
4000174,5147144,5148305,2003
4000175,5147737,5217739,2003
4000176,5098119,5121042,2003
