id,dam,sire,Year
CF115,NA,NA,NA
CF3125,NA,NA,NA
52843246,NA,NA,NA
CF3131,NA,NA,NA
CF3133,NA,NA,NA
52843216,NA,NA,NA
CF3122,NA,NA,NA
CF3107,NA,NA,NA
CF3108,NA,NA,NA
CF3530,NA,NA,NA
CF3547,NA,NA,NA
CF3118,NA,NA,NA
52843220,NA,NA,NA
BS61,NA,NA,NA
BS10,NA,NA,NA
BS16,NA,NA,NA
BS1393,NA,NA,NA
BS25827,NA,NA,NA
BS21,NA,NA,NA
BS72,NA,NA,NA
CF3389,NA,NA,NA
BS188,NA,NA,NA
CF3385,NA,NA,NA
BS1754,NA,NA,NA
52843208,NA,NA,NA
CF3148,NA,NA,NA
BS23767,NA,NA,NA
BS27191,NA,NA,NA
CF3785,NA,NA,NA
CF3537,NA,NA,NA
BS163,NA,NA,NA
BS159,NA,NA,NA
CF3078,NA,NA,NA
CF131,NA,NA,NA
CF4480,NA,NA,NA
CF3161,NA,NA,NA
BS50,NA,NA,NA
CF3380,NA,NA,NA
CF3160,NA,NA,NA
CF3171,NA,NA,NA
CF4467,NA,NA,NA
CF4466,NA,NA,NA
CF3170,NA,NA,NA
CF3119,NA,NA,NA
BS1757,NA,NA,NA
BS4764,NA,NA,NA
CF4485,NA,NA,NA
CF3506,NA,NA,NA
CF3075,NA,NA,NA
CF3154,NA,NA,NA
CF3369,NA,NA,NA
BS1756,NA,NA,NA
CF4458,NA,NA,NA
BS1303,NA,NA,NA
CF130,NA,NA,NA
CF3378,NA,NA,NA
BS1526,NA,NA,NA
BS8,NA,NA,NA
CF3384,NA,NA,NA
CF4490,NA,NA,NA
BS356,NA,NA,NA
BS1311,NA,NA,NA
CF3126,NA,NA,NA
BS807,NA,NA,NA
CF3374,NA,NA,NA
CF4494,NA,NA,NA
BS411,NA,NA,NA
BS19095,NA,NA,NA
BS4752,NA,NA,NA
CF3370,NA,NA,NA
CF3390,NA,NA,NA
CF4495,NA,NA,NA
BS49,NA,NA,NA
BS1975,NA,NA,NA
CF3376,NA,NA,NA
CF3155,NA,NA,NA
BS199,NA,NA,NA
CF3373,NA,NA,NA
BS329,NA,NA,NA
BS6213,NA,NA,NA
BS21402,NA,NA,NA
BS4737,NA,NA,NA
BS1822,NA,NA,NA
CF3168,NA,NA,NA
